model,score_bucket,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,low,23,23,19,4,14.79061,12.120215,0.608696,1.125117,38.0,0.504136,0.608696,0.608696,0.565217,0.217391,3.863636,1.0,1.0,1.0,0,23
breaker_block,medium,13,13,9,3,13.777079,10.460501,0.615385,3.320818,58.0,2.414163,0.615385,0.538462,0.538462,0.076923,5.545455,1.0,1.0,1.0,0,13
ifvg_retest,high,21,21,19,0,51.169456,22.458386,0.190476,11.560623,79.904762,1.510638,0.190476,0.238095,0.190476,0.714286,4.052632,1.133333,1.2,1.0,0,4
ifvg_retest,medium,15,15,15,0,10.715391,7.316444,0.4,1.252168,58.0,-0.012582,0.4,0.4,0.333333,0.6,4.066667,1.111111,1.0,1.2,0,15
mitigation_block,low,183,183,183,0,2.261951,1.186658,0.442623,0.689234,39.311475,-0.285727,0.442623,0.251366,0.103825,0.535519,1.0,1.938776,1.521739,1.631579,0,183
mitigation_block,medium,44,44,44,0,2.329763,0.702849,0.363636,0.724105,58.454545,-0.40256,0.363636,0.25,0.045455,0.568182,1.0,2.12,1.090909,1.0,0,41
reclaimed_ob,low,2,2,2,0,44.292036,44.292036,0.5,1.47638,43.0,-0.18334,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0,2
reclaimed_ob,medium,1,1,1,0,13.437902,13.437902,0.0,0.888137,58.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
rejection_block,high,2,2,2,0,9.519195,9.519195,0.0,9.399269,78.0,-1.0,0.0,1.0,0.5,1.0,1.0,3.5,1.0,1.0,0,0
rejection_block,low,88,88,88,0,5.601265,2.992732,0.693182,1.131795,39.477273,0.389671,0.693182,0.590909,0.295455,0.306818,1.0,2.62963,1.403846,2.807692,0,88
rejection_block,medium,51,51,51,0,8.210815,4.578839,0.607843,3.796846,58.196078,1.887523,0.607843,0.666667,0.45098,0.333333,1.0,3.058824,1.176471,1.391304,0,26
turtle_soup,low,86,86,86,0,1.996441,1.223856,0.337209,1.741952,33.953488,0.182738,0.337209,0.395349,0.174419,0.476744,1.0,4.97561,5.235294,8.133333,0,86
turtle_soup,medium,310,310,310,0,4.626978,2.983969,0.080645,9.835449,50.0,0.142505,0.080645,0.46129,0.332258,0.816129,1.0,3.648221,2.307692,3.436893,0,0
