model,htf_location,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,discount,27,27,17,9,13.77066,8.908055,0.37037,2.778226,89.814815,1.39027,0.37037,0.407407,0.407407,0.259259,4.8,1.142857,1.0,1.181818,0,27
breaker_block,premium,34,34,19,12,12.931417,5.109678,0.323529,2.312766,75.352941,0.583431,0.323529,0.323529,0.323529,0.205882,7.586207,1.0,1.0,1.0,0,34
breaker_block,unknown,2,2,1,1,7.186145,7.186145,0.0,4.15672,77.0,-1.0,0.0,0.0,0.0,0.5,9.5,1.0,,,0,2
ict2022_mss_fvg,discount,6,6,6,0,4.013971,2.498171,0.0,8.795047,100.0,3.443204,0.0,0.833333,0.666667,0.166667,1.0,12.0,1.2,1.5,0,3
ict2022_mss_fvg,premium,2,2,2,0,9.159308,9.159308,0.5,8.794575,100.0,7.468924,0.5,0.5,0.5,0.0,1.0,,1.0,2.0,0,2
ifvg_retest,discount,39,39,39,0,20.399321,9.732487,0.205128,3.798818,98.846154,0.046133,0.205128,0.25641,0.205128,0.794872,3.076923,1.322581,1.0,1.0,0,24
ifvg_retest,premium,41,41,40,0,22.174611,13.313818,0.170732,4.952819,96.585366,0.072048,0.170732,0.243902,0.243902,0.804878,2.35,1.272727,1.0,1.1,0,37
mitigation_block,discount,69,69,69,0,1.639664,0.577855,0.275362,0.686557,84.478261,-0.58005,0.275362,0.101449,0.057971,0.724638,1.0,2.36,1.142857,1.25,0,69
mitigation_block,premium,125,125,125,0,3.136735,2.017137,0.528,0.773174,73.32,-0.14741,0.528,0.336,0.168,0.464,1.0,3.551724,3.714286,4.619048,0,125
mitigation_block,unknown,3,3,3,0,0.083494,0.0,0.0,1.073597,67.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,3
reclaimed_ob,discount,9,9,8,1,9.01763,4.334435,0.444444,2.019918,87.222222,1.000967,0.444444,0.444444,0.333333,0.444444,2.0,1.0,1.0,1.0,0,8
reclaimed_ob,premium,8,8,6,2,11.57906,12.323798,0.625,1.805164,75.0,0.697877,0.625,0.75,0.5,0.125,2.375,3.0,1.0,1.0,0,7
rejection_block,discount,68,68,68,0,4.445074,3.162336,0.602941,1.826464,87.852941,0.623834,0.602941,0.588235,0.294118,0.338235,1.0,2.086957,2.75,1.8,0,58
rejection_block,premium,71,71,71,0,7.887956,5.913306,0.577465,2.175614,75.830986,0.390011,0.577465,0.633803,0.295775,0.408451,1.0,3.0,1.511111,1.809524,0,69
rejection_block,unknown,10,10,10,0,2.116119,2.059705,0.4,2.575775,80.0,-0.082163,0.4,0.6,0.1,0.6,1.0,3.333333,3.0,1.0,0,5
silver_bullet,discount,7,7,7,0,1.006334,0.794534,0.142857,2.0,93.714286,0.202111,0.142857,0.285714,0.142857,0.428571,1.0,7.666667,3.0,10.0,0,7
silver_bullet,premium,8,8,8,0,1.632341,0.777812,0.125,2.0,83.0,-0.469683,0.125,0.25,0.125,0.75,1.0,8.0,2.5,15.0,0,8
turtle_soup,discount,154,154,154,0,4.803799,2.863881,0.142857,8.574039,75.811688,0.443694,0.142857,0.435065,0.292208,0.74026,1.0,3.736842,2.462687,4.266667,0,37
turtle_soup,premium,191,191,191,0,5.062736,3.604835,0.272251,4.839224,59.450262,0.614251,0.272251,0.497382,0.34555,0.65445,1.0,3.928,2.568421,3.984848,0,185
turtle_soup,unknown,24,24,24,0,1.310019,1.204451,0.0,6.90191,69.583333,-1.0,0.0,0.291667,0.125,1.0,1.0,3.833333,2.285714,7.0,0,1
