model,htf_zone_type,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
ifvg_retest,FVG,18,18,12,0,14.856111,6.48488,0.166667,11.792816,100.0,-0.328219,-0.186003,-0.186003,0.166667,0.222222,0.222222,0.5,1.823529,1.555556,1.0,1.0,0,6
ifvg_retest,Liquidity,1,1,0,0,,,0.0,0.800134,100.0,,,,0.0,0.0,0.0,0.0,8.0,,,,0,1
ifvg_retest,PD,3,3,2,0,12.573111,12.573111,0.0,7.474423,100.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.666667,2.0,1.0,,,0,2
reclaimed_ob,FVG,4,4,3,0,41.420396,6.556014,0.5,3.502207,96.25,0.122936,0.536342,0.536342,0.5,0.5,0.5,0.25,1.25,2.0,1.0,1.0,0,2
reclaimed_ob,IFVG,1,1,0,0,,,0.0,18.182649,100.0,,,,0.0,0.0,0.0,0.0,2.0,,,,0,0
reclaimed_ob,PD,5,5,2,1,2.662539,2.662539,0.0,45.748618,91.2,-1.0,-0.35,-0.35,0.0,0.2,0.2,0.4,2.2,2.0,1.0,1.0,0,2
rejection_block,Breaker,10,10,10,0,3.376241,2.891235,0.5,3.093133,94.2,0.972214,0.81055,0.81055,0.5,0.6,0.6,0.5,1.0,2.6,2.5,5.166667,0,7
rejection_block,FVG,42,42,42,0,6.412305,3.061182,0.428571,3.027028,95.642857,0.480255,0.413487,0.413487,0.428571,0.5,0.309524,0.571429,1.0,1.458333,1.904762,2.384615,0,28
rejection_block,IFVG,9,9,9,0,2.919406,1.545256,0.0,3.496962,97.222222,-1.0,-0.566667,-0.566667,0.0,0.333333,0.222222,1.0,1.0,3.555556,1.0,1.5,0,6
rejection_block,OB,1,1,1,0,3.504021,3.504021,1.0,0.458743,77.0,0.458743,0.62112,0.62112,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
rejection_block,PD,25,25,25,0,3.45757,2.309738,0.16,3.563517,96.44,-0.057487,-0.044687,-0.044687,0.16,0.52,0.32,0.76,1.0,1.894737,1.538462,1.5,0,12
